    x             y
350     0.000225941
349.8   0.000239507
349.6   0.000239922
349.4   0.000228164
349.2   0.000204604
349     0.000168073
348.8   0.000125324
348.6   8.83252e-05
348.4   5.18341e-05
348.2   1.08775e-05
348    -2.76995e-05
347.8  -7.51444e-05
347.6  -0.000129838
347.4  -0.000189962
347.2  -0.000206119
347    -0.000155619
346.8  -0.000126432
346.6  -0.000115787
346.4  -0.000121263
346.2  -0.00012973
346    -0.000119178
345.8  -0.000104745
345.6  -8.08617e-05
345.4  -5.13888e-05
345.2  -2.1513e-05
345     1.03591e-05
344.8   3.49027e-05
344.6   7.05348e-05
344.4   0.000120045
344.2   0.000183934
344     0.000264054
343.8   0.000218096
343.6   0.000156573
343.4   9.10824e-05
343.2   2.22651e-05
343    -4.94635e-05
342.8  -9.76024e-05
342.6  -0.000129108
342.4  -0.000146525
342.2  -0.000150241
342    -0.000142127
341.8  -0.000137985
341.6  -0.000135047
341.4  -0.000116257
341.2  -9.09846e-05
341    -7.70369e-05
340.8  -5.27273e-05
340.6  -2.08495e-05
340.4  -4.52003e-05
340.2  -6.5111e-05
340    -8.06317e-05
339.8  -8.72681e-05
339.6  -8.5184e-05
339.4  -7.27866e-05
339.2  -5.15196e-05
339    -3.3521e-05
338.8  -6.95131e-06
338.6   2.99488e-05
338.4   7.43655e-05
338.2   0.000132744
338     0.000190577
337.8   0.000169905
337.6   6.92751e-05
337.4  -2.40648e-05
337.2  -9.56578e-05
337    -0.000132723
336.8  -0.000131323
336.6  -0.00010521
336.4  -6.66733e-05
336.2  -1.06486e-05
336     6.69637e-05
335.8   0.000153569
335.6   0.000241242
335.4   0.000318258
335.2   0.000378373
335     0.000427334
334.8   0.000471386
334.6   0.000506671
334.4   0.000531314
334.2   0.000535681
334     0.000520871
333.8   0.000481718
333.6   0.000455082
333.4   0.000409685
333.2   0.000338308
333     0.000246007
332.8   0.000126249
332.6   0.000127685
332.4   0.000184497
332.2   0.000207166
332     0.0001947
331.8   0.000154286
331.6   9.73309e-05
331.4   2.0669e-05
331.2  -2.3715e-05
331     1.01012e-05
330.8   1.14074e-05
330.6  -1.09036e-05
330.4  -3.5951e-05
330.2  -6.2833e-05
330    -8.65806e-05
329.8  -0.000118342
329.6  -0.000156744
329.4  -0.000191766
329.2  -0.000218011
329    -0.000223674
328.8  -0.000211116
328.6  -0.000196233
328.4  -0.000166474
328.2  -0.000110121
328    -1.7784e-05
327.8   0.000127658
327.6   0.0003164
327.4   0.000539926
327.2   0.000513262
327     0.000475989
326.8   0.000422215
326.6   0.000350754
326.4   0.000267575
326.2   0.000184496
326     0.000119361
325.8   6.94575e-05
325.6   2.71315e-05
325.4  -1.3577e-05
325.2  -4.41782e-05
325    -7.04042e-05
324.8  -7.92381e-05
324.6  -7.14342e-05
324.4  -6.45024e-05
324.2  -5.22089e-05
324    -3.17963e-05
323.8   9.56303e-06
323.6   8.71376e-05
323.4   0.000179844
323.2   0.000267358
323     0.000332774
322.8   0.000349675
322.6   0.000324303
322.4   0.000251207
322.2   0.000173452
322     0.000107832
321.8   6.40343e-05
321.6   4.28296e-05
321.4   3.78528e-05
321.2   4.4503e-05
321     5.6926e-05
320.8   7.59486e-05
320.6   0.000109244
320.4   0.000152227
320.2   0.000202662
320     0.000246341
319.8   0.000266113
319.6   0.000262119
319.4   0.000228454
319.2   0.000250279
319     0.000282701
318.8   0.00027612
318.6   0.000224355
318.4   0.00014153
318.2   5.53221e-05
318    -2.1923e-05
317.8  -7.622e-05
317.6  -9.91398e-05
317.4  -0.000101631
317.2  -0.000107161
317    -0.000106004
316.8  -0.000109119
316.6  -0.000108132
316.4  -9.29011e-05
316.2  -7.19309e-05
316    -5.03785e-05
315.8  -2.83758e-05
315.6  -6.67512e-06
315.4   2.19497e-05
315.2   5.36721e-05
315     9.99602e-05
314.8   0.000174507
314.6   0.000272453
314.4   0.000254316
314.2   0.000173492
314     0.000123283
313.8   9.45534e-05
313.6   8.69142e-05
313.4   9.91354e-05
313.2   0.000108471
313     0.000112088
312.8   0.000117493
312.6   0.000111031
312.4   0.000117165
312.2   0.000147151
312     0.000179716
311.8   0.000218423
311.6   0.000239884
311.4   0.000234487
311.2   0.000221218
311     0.000239976
310.8   0.00023699
310.6   0.000205105
310.4   0.000142348
310.2   4.66938e-05
310     1.8433e-05
309.8   9.00736e-05
309.6   0.000140021
309.4   0.000171294
309.2   0.000187034
