    x             y
400    -0.000461257
399.8  -0.000473117
399.6  -0.000479468
399.4  -0.000467608
399.2  -0.000452677
399    -0.000433455
398.8  -0.000419963
398.6  -0.000430935
398.4  -0.000441345
398.2  -0.00042591
398    -0.000409769
397.8  -0.000390846
397.6  -0.000358781
397.4  -0.000315921
397.2  -0.000273152
397    -0.00023028
396.8  -0.000176693
396.6  -0.000144265
396.4  -0.000123598
396.2  -7.95588e-05
396    -6.14053e-05
395.8  -9.90051e-05
395.6  -0.000172375
395.4  -0.000249842
395.2  -0.000305106
395    -0.000347021
394.8  -0.000381358
394.6  -0.000416404
394.4  -0.000451046
394.2  -0.000463271
394    -0.000445898
393.8  -0.000420182
393.6  -0.00039675
393.4  -0.000377399
393.2  -0.000357744
393    -0.000326541
392.8  -0.000307621
392.6  -0.000312568
392.4  -0.000312256
392.2  -0.000312624
392    -0.00031274
391.8  -0.000315832
391.6  -0.00033688
391.4  -0.000356074
391.2  -0.0003626
391    -0.000374913
390.8  -0.000379489
390.6  -0.000381493
390.4  -0.000398226
390.2  -0.000391898
390    -0.000363967
389.8  -0.000328478
389.6  -0.000321881
389.4  -0.000348878
389.2  -0.000351333
389    -0.000321054
388.8  -0.000294403
388.6  -0.00029354
388.4  -0.000321042
388.2  -0.000351242
388    -0.000364535
387.8  -0.000352229
387.6  -0.000321229
387.4  -0.000299629
387.2  -0.000315256
387    -0.000333464
386.8  -0.000279323
386.6  -0.000204669
386.4  -0.000172304
386.2  -0.000152759
386    -0.000144678
385.8  -0.000143601
385.6  -0.000140368
385.4  -0.000124317
385.2  -0.000121152
385    -0.000160695
384.8  -0.000204607
384.6  -0.000219233
384.4  -0.000203688
384.2  -0.000196251
384    -0.000182892
383.8  -0.000176612
383.6  -0.000193867
383.4  -0.000182518
383.2  -0.000162107
383    -0.000140416
382.8  -9.75495e-05
382.6  -9.25231e-05
382.4  -9.72903e-05
382.2  -0.000101525
382    -8.47313e-05
381.8  -4.58375e-05
381.6  -2.75774e-05
381.4  -1.14119e-05
381.2   7.95534e-06
381     2.52492e-05
380.8   2.94798e-05
380.6   5.3842e-05
380.4   8.86532e-05
380.2   9.52312e-05
380     9.59038e-05
379.8   0.000104823
379.6   9.92313e-05
379.4   8.02197e-05
379.2   5.10708e-05
379     4.68542e-05
378.8   5.72041e-05
378.6   7.61103e-05
378.4   0.000101513
378.2   9.72894e-05
378     7.80883e-05
377.8   8.92154e-05
377.6   0.000136266
377.4   0.000163203
377.2   0.000183131
377     0.000209801
376.8   0.000201211
376.6   0.000185786
376.4   0.000201863
376.2   0.000240455
376     0.000265678
375.8   0.000268813
375.6   0.000288425
375.4   0.000276946
375.2   0.000253846
375     0.000274748
374.8   0.000308053
374.6   0.000333113
374.4   0.000328322
374.2   0.00032272
374     0.000318224
373.8   0.00028955
373.6   0.000282789
373.4   0.000296299
373.2   0.000296961
373     0.000276127
372.8   0.000259488
372.6   0.000264143
372.4   0.000248414
372.2   0.000222077
372     0.000225758
371.8   0.000252443
371.6   0.000247207
371.4   0.000213332
371.2   0.000215271
371     0.000227543
370.8   0.00024612
370.6   0.000283267
370.4   0.000339587
370.2   0.000385565
370     0.000413523
369.8   0.000439093
369.6   0.000461016
369.4   0.00048448
369.2   0.000508689
369     0.000512607
368.8   0.000532713
368.6   0.000512881
368.4   0.000472799
368.2   0.000481096
368     0.000511446
367.8   0.000525372
367.6   0.000530172
367.4   0.000545838
367.2   0.000546845
367     0.000532024
366.8   0.000529299
366.6   0.000553149
366.4   0.000553939
366.2   0.000526214
366     0.000550064
365.8   0.000574061
365.6   0.000552715
365.4   0.000552476
365.2   0.000559665
365     0.000565652
364.8   0.000565267
364.6   0.000565457
364.4   0.000564883
364.2   0.00054768
364     0.000533502
363.8   0.000516305
363.6   0.000504343
363.4   0.000505063
363.2   0.000514625
363     0.000521648
362.8   0.000503472
362.6   0.00051218
362.4   0.00052436
362.2   0.000517285
362     0.000560427
361.8   0.00060098
361.6   0.00060564
361.4   0.000602843
361.2   0.000608423
361     0.000640231
360.8   0.000659833
360.6   0.000674904
360.4   0.00069203
360.2   0.000686233
360     0.000687267
359.8   0.000717935
359.6   0.000751589
359.4   0.000779235
359.2   0.000795135
359     0.000789664
358.8   0.000785298
358.6   0.000783963
358.4   0.000781165
358.2   0.00076607
358     0.000726675
357.8   0.000725009
357.6   0.000728226
357.4   0.000710602
357.2   0.000714049
357     0.000732084
356.8   0.000765921
356.6   0.000782353
356.4   0.000797153
356.2   0.000824869
356     0.000826382
355.8   0.000826809
355.6   0.000811885
355.4   0.000818736
355.2   0.000840178
355     0.000872875
354.8   0.00092575
354.6   0.000948576
354.4   0.000955728
354.2   0.00095904
354     0.000995459
353.8   0.00106421
353.6   0.00107482
353.4   0.00106132
353.2   0.00103246
353     0.00101563
352.8   0.00103751
352.6   0.00104876
352.4   0.00107333
352.2   0.0010864
352     0.00110312
351.8   0.00113717
351.6   0.00116742
351.4   0.00119248
351.2   0.00118917
351     0.00119054
350.8   0.0012342
350.6   0.001266
350.4   0.00125534
350.2   0.00123577
350     0.00124015
349.8   0.00121268
349.6   0.00117768
349.4   0.00117663
349.2   0.00116147
349     0.0011315
348.8   0.00111055
348.6   0.00111638
348.4   0.00112218
348.2   0.00110801
348     0.00113562
347.8   0.00116531
347.6   0.001179
347.4   0.00122507
347.2   0.00124767
347     0.00124801
346.8   0.00123796
346.6   0.00121204
346.4   0.00121356
346.2   0.00122318
346     0.00124295
345.8   0.00125536
345.6   0.00121431
345.4   0.0011763
345.2   0.00118168
345     0.00123225
344.8   0.00127445
344.6   0.00130404
344.4   0.00131951
344.2   0.00130064
344     0.00131486
343.8   0.00137136
343.6   0.00144205
343.4   0.00148414
343.2   0.00148082
343     0.00148394
342.8   0.0014562
342.6   0.00143249
342.4   0.00144344
342.2   0.00144295
342     0.00144104
341.8   0.00144086
341.6   0.0014594
341.4   0.00144342
341.2   0.00142303
341     0.00148292
340.8   0.00151732
340.6   0.0015354
340.4   0.00155014
340.2   0.00156075
340     0.0015969
339.8   0.00158044
339.6   0.0015698
339.4   0.00157958
339.2   0.0015558
339     0.00156112
338.8   0.00156664
338.6   0.00157367
338.4   0.00158732
338.2   0.00159128
338     0.00160957
337.8   0.00163431
337.6   0.00165929
337.4   0.00168717
337.2   0.00170828
337     0.00173802
336.8   0.00177121
336.6   0.00178207
336.4   0.00176856
336.2   0.00174712
336     0.00175233
335.8   0.00177452
335.6   0.00178509
335.4   0.00179337
335.2   0.00181963
335     0.00181708
334.8   0.00179175
334.6   0.00179618
334.4   0.00182076
334.2   0.00184765
334     0.00186923
333.8   0.00185792
333.6   0.00185205
333.4   0.00186373
333.2   0.00191283
333     0.00200977
332.8   0.00205006
332.6   0.00206448
332.4   0.00209107
332.2   0.00210466
332     0.00212621
331.8   0.00213978
331.6   0.00214633
331.4   0.00214419
331.2   0.00207856
331     0.00202835
330.8   0.00205074
330.6   0.00208538
330.4   0.00213511
330.2   0.0021967
330     0.00222393
329.8   0.002209
329.6   0.00222494
329.4   0.00227911
329.2   0.00233309
329     0.00233831
328.8   0.00231131
328.6   0.00229958
328.4   0.00230932
328.2   0.00231563
328     0.00232195
327.8   0.00232779
327.6   0.00232995
327.4   0.00231631
327.2   0.00231404
327     0.00233033
326.8   0.00229703
326.6   0.00227071
326.4   0.00229299
326.2   0.00229451
326     0.00223666
325.8   0.00220126
325.6   0.00221273
325.4   0.00226156
325.2   0.00231633
325     0.00236413
324.8   0.0023897
324.6   0.0023958
324.4   0.00245709
324.2   0.00254967
324     0.00260264
323.8   0.00265606
323.6   0.00269816
323.4   0.00270374
323.2   0.00273033
323     0.00273777
322.8   0.00271524
322.6   0.00270172
322.4   0.0027195
322.2   0.00276045
322     0.00277679
321.8   0.00278219
321.6   0.0028034
321.4   0.00281089
321.2   0.00284223
321     0.00290742
320.8   0.00293617
320.6   0.00292312
320.4   0.00292572
320.2   0.00297147
320     0.00300019
319.8   0.00300625
319.6   0.00303841
319.4   0.00305791
319.2   0.00310013
319     0.00314389
318.8   0.00319067
318.6   0.0032489
318.4   0.00322458
318.2   0.0032407
318     0.00328769
317.8   0.00331317
317.6   0.00337485
317.4   0.00340964
317.2   0.00343151
317     0.00344523
316.8   0.0034529
316.6   0.00351394
316.4   0.00353884
316.2   0.00356879
316     0.00360788
315.8   0.0035916
315.6   0.00355656
315.4   0.00352432
315.2   0.00352739
315     0.00353009
314.8   0.00352779
314.6   0.00353523
314.4   0.00352293
314.2   0.0034945
314     0.00350685
313.8   0.00357364
313.6   0.0036631
313.4   0.00372655
313.2   0.00376932
313     0.00382606
312.8   0.00386061
312.6   0.00390775
312.4   0.00399447
312.2   0.0040568
312     0.00407406
311.8   0.00407038
311.6   0.0040695
311.4   0.00407313
311.2   0.00407894
311     0.00409363
310.8   0.00409815
310.6   0.00409954
310.4   0.00410288
310.2   0.00414695
310     0.00425195
309.8   0.00433983
309.6   0.00439148
309.4   0.00442215
309.2   0.00447829
309     0.00456618
308.8   0.00463776
308.6   0.00469595
308.4   0.00472564
308.2   0.0047344
308     0.00473508
307.8   0.00473333
307.6   0.00473291
307.4   0.00472393
307.2   0.00469341
307     0.00467326
306.8   0.00469338
306.6   0.00471512
306.4   0.00471974
306.2   0.00474227
306     0.00480491
305.8   0.004887
305.6   0.00495459
305.4   0.00500096
305.2   0.00502742
305     0.00502799
304.8   0.00505281
304.6   0.00512027
304.4   0.00518169
304.2   0.00519466
304     0.00515959
303.8   0.0051415
303.6   0.00516416
303.4   0.00520391
303.2   0.00524961
303     0.00527794
302.8   0.00529028
302.6   0.00530541
302.4   0.00535358
302.2   0.0054303
302     0.00548008
301.8   0.00550511
301.6   0.00553066
301.4   0.00554292
301.2   0.0055529
301     0.0055627
300.8   0.00558294
300.6   0.00559285
300.4   0.00558178
300.2   0.00561289
300     0.005659
299.8   0.00568785
299.6   0.00574044
299.4   0.00578845
299.2   0.00580769
299     0.00581877
298.8   0.00586072
298.6   0.00595513
298.4   0.00602042
298.2   0.00604248
298     0.00605052
297.8   0.00604732
297.6   0.00606952
297.4   0.00608506
297.2   0.00609785
297     0.00613423
296.8   0.00613341
296.6   0.00609744
296.4   0.00609782
296.2   0.00613498
296     0.00619682
295.8   0.0062153
295.6   0.00622474
295.4   0.00626764
295.2   0.00627121
295     0.00629397
294.8   0.00635609
294.6   0.00642947
294.4   0.00648478
294.2   0.00649681
294     0.00653002
293.8   0.00656564
293.6   0.00655045
293.4   0.00655028
293.2   0.00658287
293     0.00661068
292.8   0.00659416
292.6   0.00658834
292.4   0.00661249
292.2   0.00663273
292     0.00666833
291.8   0.00674178
291.6   0.00679353
291.4   0.00678557
291.2   0.00678836
291     0.00680734
290.8   0.0068401
290.6   0.00684235
290.4   0.00684072
290.2   0.00687256
290     0.00686256
289.8   0.00684844
289.6   0.0068868
289.4   0.00692746
289.2   0.0069607
289     0.00698847
288.8   0.00704324
288.6   0.0071062
288.4   0.00712042
288.2   0.00713248
288     0.00716261
