    x             y
450    -0.000835706
449.5  -0.000714867
449    -0.000571082
448.5  -0.000512716
448    -0.000430423
447.5  -0.000309535
447    -0.000163691
446.5   7.2815e-06
446     0.000215166
445.5   0.000275852
445     0.00031303
444.5   0.000390409
444     0.000449757
443.5   0.000447582
443     0.000458074
442.5   0.000479181
442     0.000631384
441.5   0.000692247
441     0.000676413
440.5   0.000640689
440     0.000591254
439.5   0.000448715
439     0.000360296
438.5   0.000279393
438     0.000158948
437.5   2.82263e-05
437    -5.07477e-05
436.5  -0.000148778
436    -0.000271064
435.5  -0.000450208
435    -0.000576424
434.5  -0.000724131
434    -0.000844805
433.5  -0.000940938
433    -0.00092116
432.5  -0.000831924
432    -0.000762351
431.5  -0.00070824
431    -0.000705619
430.5  -0.000778044
430    -0.000841353
429.5  -0.000931959
429    -0.000983798
428.5  -0.000932981
428    -0.000739319
427.5  -0.000602645
427    -0.00053085
426.5  -0.000549666
426    -0.000616145
425.5  -0.000651611
425    -0.000702107
424.5  -0.000675575
424    -0.000525442
423.5  -0.000370102
423    -0.000189108
422.5  -6.79021e-05
422    -0.000116711
421.5  -0.00023466
421    -0.000260706
420.5  -0.000299412
420    -0.000314083
419.5  -0.00024298
419    -0.000101379
418.5   8.62896e-05
418     0.000176222
417.5   0.000175468
417     3.98599e-05
416.5  -0.000188036
416    -0.000312693
415.5  -0.000296802
415    -0.000288575
414.5  -0.000366635
414    -0.000347106
413.5  -0.000291342
413    -0.000301299
412.5  -0.000449591
412    -0.000703386
411.5  -0.000909131
411    -0.00109685
410.5  -0.00102043
410    -0.000740039
409.5  -0.000575495
409    -0.000476206
408.5  -0.00035396
408    -0.000272009
407.5  -0.000319849
407    -0.000383683
406.5  -0.000387483
406    -0.000325849
405.5  -0.000175051
405    -8.92808e-07
404.5   0.000204274
404     0.000237334
403.5   8.25533e-05
403    -2.00389e-05
402.5  -0.000122982
402    -0.000251234
401.5  -0.000251412
401    -0.000142974
400.5  -7.16278e-05
400    -9.34944e-05
399.5  -6.25969e-05
399     2.4206e-05
398.5   0.000112004
398     8.47898e-05
397.5   8.03362e-05
397     0.000141795
396.5   0.000253943
396     0.000420792
395.5   0.000490574
395     0.000479367
394.5   0.000513432
394     0.000612867
393.5   0.000715952
393     0.000688374
392.5   0.000494592
392     0.000342742
391.5   0.000392477
