    x             y
400    -0.000310434
399.8  -0.000302112
399.6  -0.000256309
399.4  -0.000192302
399.2  -0.000165421
399    -0.000162788
398.8  -0.000115685
398.6  -3.33958e-05
398.4   1.95304e-05
398.2  -1.11898e-05
398    -8.87286e-05
397.8  -0.000125209
397.6  -0.000110374
397.4  -4.9892e-05
397.2   3.43758e-05
397     8.3676e-05
396.8   4.76679e-05
396.6   8.69866e-06
396.4   2.96116e-05
396.2   8.22239e-05
396     0.000128481
395.8   0.000110522
395.6   3.00944e-05
395.4  -6.28487e-05
395.2  -0.000110236
395    -8.63055e-05
394.8  -4.20894e-05
394.6  -4.30472e-05
394.4  -4.2148e-05
394.2  -2.44856e-05
394    -6.23137e-06
393.8   5.81938e-05
393.6   0.000118681
393.4   0.000122606
393.2   0.00010202
393     1.17009e-05
392.8  -4.77978e-06
392.6   6.57355e-06
392.4  -7.20793e-05
392.2  -0.000120755
392    -0.000120591
391.8  -0.000118967
391.6  -0.000161572
391.4  -0.000160708
391.2  -4.71477e-05
391    -1.84489e-05
390.8  -4.74534e-05
390.6   1.50426e-05
390.4   7.51305e-05
390.2   7.38967e-05
390     8.3889e-05
389.8   0.000144852
389.6   0.000147726
389.4   7.07471e-05
389.2   7.59438e-05
389     9.30112e-05
388.8   2.87288e-05
388.6  -1.30885e-05
388.4  -1.52602e-05
388.2  -3.00814e-05
388    -8.61163e-05
387.8  -9.76158e-05
387.6  -3.75102e-05
387.4  -2.46529e-06
387.2   1.51237e-05
387     5.99337e-05
386.8   8.25473e-05
386.6   5.57928e-05
386.4   4.32653e-05
386.2   6.67105e-05
386     7.05479e-05
385.8   2.87145e-05
385.6  -1.77735e-05
385.4  -1.30979e-05
385.2  -7.67651e-06
385    -7.09538e-06
384.8   1.05677e-05
384.6  -3.29942e-05
384.4  -9.66727e-05
384.2  -0.00014296
384    -0.000169838
383.8  -0.000126253
383.6  -0.000148025
383.4  -0.000204145
383.2  -0.000210112
383    -0.000234377
382.8  -0.000214136
382.6  -0.000187064
382.4  -0.000147589
382.2  -0.000124261
382    -0.000175683
381.8  -0.000118041
381.6  -1.34476e-05
381.4   1.556e-05
381.2   2.56129e-05
381     2.36958e-05
380.8   3.84438e-05
380.6   2.35402e-05
380.4   3.511e-05
380.2   9.93751e-05
380     6.28711e-05
379.8   2.16281e-05
379.6   4.82855e-05
379.4   0.000100244
379.2   0.000176925
379     0.000233764
378.8   0.000259604
378.6   0.000278397
378.4   0.000233092
378.2   0.000207546
378     0.000181645
377.8   9.14066e-05
377.6   4.70584e-05
377.4   2.65202e-05
377.2  -1.39733e-06
377     8.47499e-07
376.8   1.21714e-05
376.6   6.37309e-06
376.4   3.89539e-06
376.2  -2.51346e-05
376    -5.43216e-05
375.8  -7.72304e-05
375.6  -7.41187e-05
375.4  -5.44887e-05
375.2  -6.41157e-05
375    -0.000120905
374.8  -0.000161255
374.6  -0.000150745
374.4  -0.000129623
374.2  -8.88669e-05
374    -3.85346e-05
373.8  -6.49499e-06
373.6   3.69681e-06
373.4  -4.45305e-06
373.2   4.10328e-05
373     0.000112286
372.8   7.2171e-05
372.6   6.17534e-05
372.4   0.000112582
