  x-r-uv           y-r-uv    x-s-uv           y-s-uv    x-r-ecd       y-r-ecd    x-s-ecd        y-s-ecd
   180        9.63436e-10     180        4.52905e-10      180     1.5232e-12       180      6.58257e-13
   180.2      1.63615e-09     180.2      7.72215e-10      180.2   2.62896e-12      180.2    1.13061e-12
   180.4      2.76139e-09     180.4      1.30851e-09      180.4   4.50819e-12      180.4    1.92963e-12
   180.6      4.63186e-09     180.6      2.20364e-09      180.6   7.68119e-12      180.6    3.27267e-12
   180.8      7.72188e-09     180.8      3.68848e-09      180.8   1.30042e-11      180.8    5.51579e-12
   181        1.27952e-08     181        6.1364e-09       181     2.18771e-11      181      9.23865e-12
   181.2      2.10739e-08     181.2      1.01474e-08      181.2   3.65734e-11      181.2    1.53787e-11
   181.4      3.4501e-08      181.4      1.66799e-08      181.4   6.07618e-11      181.4    2.54423e-11
   181.6      5.61468e-08     181.6      2.72547e-08      181.6   1.00324e-10      181.6    4.18343e-11
   181.8      9.08324e-08     181.8      4.42708e-08      181.8   1.64629e-10      181.8    6.837e-11
   182        1.46081e-07     182        7.14888e-08      182     2.68508e-10      182      1.11063e-10
   182.2      2.33563e-07     182.2      1.14768e-07      182.2   4.35286e-10      182.2    1.79332e-10
   182.4      3.71265e-07     182.4      1.8318e-07       182.4   7.01418e-10      182.4    2.87836e-10
   182.6      5.86747e-07     182.6      2.90691e-07      182.6   1.12353e-09      182.6    4.59249e-10
   182.8      9.21979e-07     182.8      4.58665e-07      182.8   1.789e-09        182.8    7.28417e-10
   183        1.44049e-06     183        7.19593e-07      183     2.83192e-09      183      1.14856e-09
   183.2      2.23786e-06     183.2      1.12259e-06      183.2   4.45665e-09      183.2    1.80047e-09
   183.4      3.45706e-06     183.4      1.74146e-06      183.4   6.97288e-09      183.4    2.806e-09
   183.6      5.31065e-06     183.6      2.68648e-06      183.6   1.0847e-08       183.6    4.34786e-09
   183.8      8.11277e-06     183.8      4.12138e-06      183.8   1.67773e-08      183.8    6.69824e-09
   184        1.2325e-05      184        6.28797e-06      184     2.58025e-08      184      1.02602e-08
   184.2      1.86217e-05     184.2      9.54116e-06      184.2   3.94591e-08      184.2    1.56272e-08
   184.4      2.7982e-05      184.4      1.43989e-05      184.4   6.00064e-08      184.4    2.36669e-08
   184.6      4.18199e-05     184.6      2.1613e-05       184.6   9.07463e-08      184.6    3.56413e-08
   184.8      6.21648e-05     184.8      3.22677e-05      184.8   1.36476e-07      184.8    5.3374e-08
   185        9.19136e-05     185        4.7919e-05       185     2.04127e-07      185      7.94847e-08
   185.2      0.000135178     185.2      7.07862e-05      185.2   3.03651e-07      185.2    1.17714e-07
   185.4      0.000197758     185.4      0.000104017      185.4   4.49258e-07      185.4    1.7337e-07
   185.6      0.000287794     185.6      0.000152053      185.6   6.61122e-07      185.6    2.53941e-07
   185.8      0.000416643     185.8      0.000221122      185.8   9.67713e-07      185.8    3.69931e-07
   186        0.000600061     186        0.000319911      186     1.40899e-06      186      5.35977e-07
   186.2      0.000859788     186.2      0.000460474      186.2   2.04071e-06      186.2    7.72365e-07
   186.4      0.00122565      186.4      0.000659437      186.4   2.94024e-06      186.4    1.10703e-06
   186.6      0.00173834      186.6      0.000939612      186.6   4.21433e-06      186.6    1.57824e-06
   186.8      0.00245308      186.8      0.00133213       186.8   6.00942e-06      186.8    2.23806e-06
   187        0.0034444       187        0.00187923       187     8.52534e-06      187      3.15693e-06
   187.2      0.00481229      187.2      0.00263796       187.2   1.20332e-05      187.2    4.42961e-06
   187.4      0.00669027      187.4      0.00368486       187.4   1.68988e-05      187.4    6.1828e-06
   187.6      0.00925558      187.6      0.00512219       187.6   2.36129e-05      187.6    8.58486e-06
   187.8      0.0127422       187.8      0.00708577       187.8   3.28307e-05      187.8    1.18582e-05
   188        0.0174576       188        0.00975503       188     4.54215e-05      188      1.62951e-05
   188.2      0.0238031       188.2      0.0133658        188.2   6.25327e-05      188.2    2.22768e-05
   188.4      0.0323006       188.4      0.0182264        188.4   8.56707e-05      188.4    3.02984e-05
   188.6      0.0436242       188.6      0.0247379        188.6   0.000116803      188.6    4.09982e-05
   188.8      0.0586409       188.8      0.0334189        188.8   0.000158483      188.8    5.51948e-05
   189        0.0784591       189        0.044937         189     0.00021401       189      7.39315e-05
   189.2      0.104489        189.2      0.060147         189.2   0.000287623      189.2    9.85299e-05
   189.4      0.138515        189.4      0.0801373        189.4   0.000384737      189.4    0.000130654
   189.6      0.182784        189.6      0.106287         189.6   0.000512236      189.6    0.000172385
   189.8      0.240108        189.8      0.140336         189.8   0.000678822      189.8    0.000226314
   190        0.313993        190        0.184464         190     0.000895436      190      0.00029564
   190.2      0.408781        190.2      0.241392         190.2   0.00117576       190.2    0.000384294
   190.4      0.529828        190.4      0.314496         190.4   0.00153683       190.4    0.000497072
   190.6      0.683701        190.6      0.407949         190.6   0.0019997        190.6    0.000639791
   190.8      0.878416        190.8      0.526876         190.8   0.00259031       190.8    0.000819459
   191        1.1237          191        0.677541         191     0.0033404        191      0.00104446
   191.2      1.43132         191.2      0.867567         191.2   0.00428863       191.2    0.00132477
   191.4      1.81538         191.4      1.10618          191.4   0.00548182       191.4    0.00167217
   191.6      2.29278         191.6      1.40448          191.6   0.00697637       191.6    0.00210045
   191.8      2.88359         191.8      1.77577          191.8   0.00883987       191.8    0.00262569
   192        3.61159         192        2.23591          192     0.0111529        192      0.00326648
